"Aruba","ABW","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1",
"Africa Eastern and Southern","AFE","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1",
"Afghanistan","AFG","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4","3","5","5","16","15","11","25","35","33","25","23","21","18","12","20","31","28","27","27","24","33","36","41","50","58","58","63","64","63","66","68","67","64","62","64","66","66","72","72","70","-1",
"Africa Western and Central","AFW","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1",
"Angola","AGO","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","6","8","8","10","10","12","18","24","26","21","30","27","24","28","41","47","21","31","42","47","46","47","47","44","48","49","50","51","52","53","54","55","59","59","56","63","57","51","-1",
"Albania","ALB","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","94","94","95","95","95","96","96","96","96","94","94","78","94","96","99","97","98","99","96","97","97","97","98","97","97","98","97","98","99","98","99","99","99","99","98","99","98","99","99","99","98","-1",
"Andorra","AND","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","90","89","90","98","96","97","99","99","98","93","96","99","99","99","99","99","96","97","97","98","99","99","99","99","-1",
"Arab World","ARB","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1",
"United Arab Emirates","ARE","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","11","45","43","50","59","76","78","80","82","84","85","85","86","90","90","90","90","92","94","94","94","94","94","94","94","94","92","92","92","93","94","95","96","98","99","99","99","97","99","99","90","-1",
"Argentina","ARG","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","44","49","58","61","62","66","67","75","80","80","87","80","81","81","82","85","83","88","84","86","83","83","93","96","98","98","91","91","93","94","94","91","91","94","94","94","92","86","86","83","74","-1",
